定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
7:00,7:00,東京,,D10,X,7.0:06,0
7:00,7:00,東京,,D8,S,7.0:05,0
7:00,7:00,大阪,,D81,S,7.0:08,0
7:00,7:03,東京,,D2,X,7.0:08,3
7:00,7:06,東京,,D4,S,7.0:10,6
7:05,7:05,大阪,,D6,X,7.0:10,0
7:05,7:08,奄美大島,,D6,S,7.0:12,3
7:10,7:10,沖縄/那覇,,D82,X,7.0:19,0
7:10,7:10,宮崎,,D12,S,7.0:16,0
7:10,7:11,宮崎,,D82,S,7.0:18,1
7:15,7:15,出雲,,D81,S,7.0:23,0
7:15,7:15,沖縄/那覇,,D12,X,7.0:22,0
7:20,7:20,新潟,,D82,X,7.0:29,0
7:25,7:25,小松,,D81,S,7.0:33,0
7:25,7:25,成田,,D3,X,7.0:31,0
7:35,7:35,東京,,D7,X,7.0:40,0
7:40,7:40,名古屋/中部,,D5,S,7.0:45,0
7:40,7:40,対馬,,D82,X,7.0:49,0
7:45,7:45,福江,,D82,S,7.0:53,0
7:50,7:50,松山,,D81,X,7.0:59,0
7:55,7:55,仙台,,D81,S,8.0:03,0
7:55,7:55,成田,,D1,X,8.0:01,0
8:00,8:00,東京,,D11,X,8.0:06,0
8:00,8:01,沖縄/那覇,,D6,S,8.0:05,1
8:00,8:03,沖縄/那覇,,D4,S,8.0:07,3
8:05,,ハノイ,,着陸,X,8:5.0,0
8:10,,バンコク/スワンナプーム,,着陸,S,8:10.0,0
8:15,8:15,信州松本,,D1,X,8.0:21,0
8:15,,大阪,,着陸,S,8:15.0,0
8:15,,関西,,着陸,S,8:17.0,2
8:15,,東京,,着陸,S,8:19.0,4
8:15,,東京,,着陸,X,8.0:19.666666666666668,5
8:20,,ハノイ,,着陸,S,8:21.0,1
8:20,,天草,,着陸,X,8.0:21.666666666666668,2
8:25,8:25,東京,,D8,S,8.0:30,0
8:30,,宮崎,,着陸,X,8:30.0,0
8:35,,名古屋/小牧,,着陸,S,8:35.0,0
8:35,,東京,,着陸,X,8:35.0,0
8:40,,沖縄/那覇,,着陸,X,8:40.0,0
8:50,8:50,天草,,D81,S,8.0:58,0
8:50,,東京,,着陸,X,8:50.0,0
8:55,8:55,名古屋/中部,,D5,X,9.0:01,0
8:55,8:56,沖縄/那覇,,D4,S,9.0:00,1
8:55,8:57,仙台,,D11,S,9.0:02,2
8:55,8:57,東京,,D2,X,9.0:03,2
9:00,9:00,東京,,D9,S,9.0:05,0
9:00,9:00,大阪,,D11,X,9.0:06,0
9:00,9:03,高知,,D6,S,9.0:07,3
9:00,,沖縄/那覇,,着陸,X,9.0:4.933333333333334,5
9:00,,東京,,着陸,S,9.0:5.833333333333333,6
9:00,,名古屋/中部,,着陸,X,9.0:6.933333333333334,7
9:05,9:07,名古屋/小牧,,D3,S,9.0:11,2
9:05,,宮崎,,着陸,X,9.0:8.933333333333334,4
9:10,9:10,東京,,D7,S,9.0:15,0
9:10,9:10,東京,,D12,X,9.0:17,0
9:10,9:10,バンコク/スワンナプーム,,I54,S,9.0:19,0
9:15,9:15,ハノイ,,I57,X,9.0:24,0
9:15,,大阪,,着陸,S,9.0:17.133333333333333,3
9:15,,成田,,着陸,S,9.0:19.133333333333333,5
9:15,,宮崎,,着陸,S,9.0:21.133333333333333,7
9:15,,成田,,着陸,X,9.0:22.25,8
9:20,,東京,,着陸,S,9.0:23.133333333333333,4
9:20,,静岡,,着陸,X,9.0:24.25,5
9:20,,対馬,,着陸,S,9.0:25.133333333333333,6
9:25,9:25,沖縄/那覇,,D12,X,9.0:32,0
9:25,,名古屋/中部,,着陸,S,9.0:27.133333333333333,3
9:35,9:35,福江,,D82,S,9.0:43,0
9:35,,福江,,着陸,X,9:35.0,0
9:35,,東京,,着陸,X,9:37.0,2
9:40,9:40,東京,,D10,X,9.0:46,0
