定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
7:00,7:00,東京,,D10,X,7:06,0
7:00,7:00,東京,,D8,S,7:05,0
7:00,7:00,大阪,,D81,S,7:12,0
7:00,7:00,東京,,D2,X,7:12,0
7:00,7:00,東京,,D4,X,7:17,0
7:05,7:05,大阪,,D6,S,7:16,0
7:05,7:05,奄美大島,,D6,S,7:21,0
7:10,7:10,沖縄/那覇,,D82,X,7:25,0
7:10,7:10,宮崎,,D12,S,7:26,0
7:10,7:10,宮崎,,D82,X,7:33,0
7:15,7:15,出雲,,D81,S,7:34,0
7:15,7:15,沖縄/那覇,,D12,X,7:39,0
7:20,7:20,新潟,,D82,S,7:41,0
7:25,7:25,小松,,D81,X,7:47,0
7:25,7:25,成田,,D3,S,7:46,0
7:35,7:35,東京,,D7,S,7:50,0
7:40,7:40,名古屋/中部,,D5,X,7:52,0
7:40,7:40,対馬,,D82,S,7:57,0
7:45,7:45,福江,,D82,X,8:00,0
7:50,7:50,松山,,D81,S,8:05,0
7:55,7:55,仙台,,D81,X,8:08,0
7:55,7:55,成田,,D1,S,8:10,0
8:00,8:00,東京,,D11,X,8:14,0
8:00,8:00,沖縄/那覇,,D6,S,8:14,0
8:00,8:00,沖縄/那覇,,D4,S,8:18,0
8:05,,ハノイ,,着陸,X,8:16,11
8:10,,バンコク/スワンナプーム,,着陸,X,8:18,8
8:15,8:15,信州松本,,D1,S,8:23,0
8:15,,大阪,,着陸,X,8:20,5
8:15,,関西,,着陸,X,8:22,7
8:15,,東京,,着陸,X,8:24,9
8:15,,東京,,着陸,S,8:25,10
8:20,,ハノイ,,着陸,X,8:26,6
8:20,,天草,,着陸,S,8:27,7
8:25,8:25,東京,,D8,X,8:31,0
8:30,,宮崎,,着陸,S,8:30,0
8:35,,名古屋/小牧,,着陸,S,8:35,0
8:35,,東京,,着陸,X,8:35,0
8:40,,沖縄/那覇,,着陸,X,8:40,0
8:50,8:50,天草,,D81,S,8:58,0
8:50,,東京,,着陸,X,8:50,0
8:55,8:55,名古屋/中部,,D5,X,9:01,0
8:55,8:55,沖縄/那覇,,D4,S,9:02,0
8:55,8:55,仙台,,D11,X,9:07,0
8:55,8:55,東京,,D2,S,9:07,0
9:00,9:01,東京,,D9,X,9:12,1
9:00,9:00,大阪,,D11,S,9:12,0
9:00,9:00,高知,,D6,X,9:17,0
9:00,,沖縄/那覇,,着陸,S,9:14,14
9:00,,東京,,着陸,S,9:16,16
9:00,,名古屋/中部,,着陸,S,9:18,18
9:05,9:05,名古屋/小牧,,D3,X,9:22,0
9:05,,宮崎,,着陸,S,9:20,15
9:10,9:10,東京,,D7,S,9:24,0
9:10,9:10,東京,,D12,X,9:28,0
9:10,9:10,バンコク/スワンナプーム,,I54,S,9:33,0
9:15,9:15,ハノイ,,I57,X,9:37,0
9:15,,大阪,,着陸,S,9:35,20
9:15,,成田,,着陸,S,9:37,22
9:15,,宮崎,,着陸,S,9:39,24
9:15,,成田,,着陸,X,9:39,24
9:20,,東京,,着陸,S,9:41,21
9:20,,静岡,,着陸,X,9:41,21
9:20,,対馬,,着陸,S,9:43,23
9:25,9:25,沖縄/那覇,,D12,X,9:47,0
9:25,,名古屋/中部,,着陸,S,9:45,20
9:35,9:35,福江,,D82,S,9:52,0
9:35,,福江,,着陸,X,9:49,14
9:35,,東京,,着陸,X,9:51,16
9:40,9:40,東京,,D10,X,9:57,0
9:40,9:40,沖縄/那覇,,D6,S,9:56,0
9:40,,仙台,,着陸,S,9:58,18
9:50,9:50,静岡,,D3,X,10:02,0
9:50,9:50,宮崎,,D82,S,10:06,0
9:55,9:55,名古屋/中部,,D1,X,10:08,0
9:55,,名古屋/小牧,,着陸,S,10:08,13
9:55,,東京,,着陸,X,10:10,15
10:00,10:00,札幌/新千歳,,D11,S,10:13,0
10:00,10:00,成田,,D4,X,10:15,0
10:00,10:00,東京,,D8,S,10:17,0
10:00,10:00,徳島,,D6,X,10:20,0
10:00,,松山,,着陸,S,10:19,19
10:00,,台北/桃園,,着陸,S,10:21,21
10:05,10:05,成田,,D5,X,10:25,0
10:05,10:05,対馬,,D81,S,10:29,0
10:10,10:10,東京,,D9,X,10:30,0
10:10,10:10,仙台,,D81,S,10:36,0
10:10,10:10,名古屋/中部,,D12,X,10:36,0
10:15,10:15,東京,,D2,S,10:41,0
10:30,10:30,ハノイ,,I55,X,10:44,0
10:35,10:35,宮崎,,D6,S,10:45,0
10:45,,成田,,着陸,X,10:46,1
10:45,,静岡,,着陸,S,10:47,2
10:50,,プサン,,着陸,X,10:50,0
10:50,,東京,,着陸,S,10:50,0
10:55,10:55,名古屋/小牧,,D1,X,11:01,0
10:55,10:55,台北/桃園,,I53,S,11:03,0
10:55,,小松,,着陸,X,11:03,8
10:55,,成田,,着陸,X,11:05,10
10:55,,名古屋/中部,,着陸,S,11:05,10
11:00,11:00,東京,,D7,X,11:10,0
11:00,,ソウル/仁川,,着陸,S,11:07,7
11:00,,東京,,着陸,S,11:09,9
11:05,,ソウル/仁川,,着陸,S,11:11,6
11:05,,大阪,,着陸,X,11:12,7
11:10,11:10,東京,,D10,S,11:16,0
11:10,,関西,,着陸,X,11:14,4
11:10,,東京,,着陸,X,11:16,6
11:15,11:15,静岡,,D3,X,11:21,0
11:15,,新潟,,着陸,S,11:18,3
11:15,,東京,,着陸,S,11:20,5
11:20,,台北/桃園,,着陸,S,11:22,2
11:25,11:25,札幌/新千歳,,D4,X,11:31,0
11:25,,沖縄/那覇,,着陸,S,11:25,0
11:25,,高知,,着陸,S,11:27,2
11:30,11:30,小松,,D81,S,11:38,0
11:30,,東京,,着陸,X,11:33,3
11:30,,沖縄/那覇,,着陸,X,11:35,5
11:30,,東京,,着陸,X,11:37,7
11:35,11:35,成田,,D1,X,11:42,0
11:40,11:40,札幌/新千歳,,D6,S,11:45,0
11:40,11:40,いわて花巻,,D5,X,11:47,0
11:40,11:40,名古屋/中部,,D11,S,11:50,0
11:45,11:45,東京,,D8,X,11:52,0
11:45,11:45,プサン,,I54,S,11:58,0
11:50,11:50,東京,,D11,X,11:58,0
11:50,,宮崎,,着陸,S,12:00,10
