Time,Go,Gate,
7:00,奄美大島,82,
7:00,大阪/伊丹,7,
7:00,東京/羽田,11,
7:00,東京/羽田,9,
7:00,東京/羽田,6,
7:00,東京/羽田,4,
7:05,沖縄/那覇,82,
7:05,大阪/伊丹,81,
7:10,宮崎,82,
7:10,宮崎,81,
7:15,出雲,81,
7:20,新潟,82,
7:20,沖縄/那覇,12,
7:25,成田,2,
7:30,小松,81,
7:30,東京/羽田,10,
7:35,成田,1,
7:40,対馬,82,
7:40,名古屋/中部,12,
7:45,五島福江,82,
7:50,松山,81,
7:55,沖縄/那覇,5,a
8:00,東京/羽田,7,
8:00,沖縄/那覇,6,
8:00,沖縄/那覇,4,
8:05,仙台,81,
8:05,関西,1,
8:20,信州松本,3,
8:30,東京/羽田,9,
8:50,天草,81,
8:55,大阪/伊丹,81,
8:55,成田,1,
9:00,東京/羽田,8,
9:00,東京/羽田,5,
9:05,仙台,6,
9:05,高知,11,
9:05,静岡,3,
9:05,名古屋/中部,2,
9:10,沖縄/那覇,4,
9:20,東京/羽田,12,
9:25,東京/羽田,10,
9:30,沖縄/那覇,6,
9:35,沖縄/那覇,12,
9:40,五島福江,81,
9:55,東京/羽田,7,
9:55,徳島,6,
10:00,宮崎,82,
10:00,東京/羽田,9,
10:00,名古屋/小牧,4,
10:00,名古屋/中部,1,
10:05,対馬,82,
10:05,札幌/新千歳,11,
10:05,成田,5,
10:10,名古屋/中部,11,
10:20,東京/羽田,8,
10:20,静岡,3,
10:20,東京/羽田,2,
10:25,仙台,81,
10:25,宮崎,6,
10:30,札幌/新千歳,1,
10:40,成田,12,
11:00,東京/羽田,10,
11:10,信州松本,2,
11:15,東京/羽田,7,
11:20,沖縄/那覇,1,
11:25,成田,4,
11:35,いわて花巻,12,
11:35,名古屋/中部,6,
11:40,小松,81,
11:40,札幌/新千歳,11,
11:50,東京/羽田,8,
11:50,札幌/新千歳,5,
11:55,大阪/伊丹,82,
11:55,東京/羽田,3,
12:00,松山,12,
12:00,東京/羽田,6,
12:10,東京/羽田,9,
12:15,沖縄/那覇,11,
12:20,石垣,1,
12:25,東京/羽田,2,
12:30,仙台,82,
12:30,宮崎,82,
12:35,札幌/新千歳,12,
12:35,東京/羽田,7,
12:45,東京/羽田,4,
12:55,沖縄/那覇,6,
13:00,名古屋/中部,82,
13:00,屋久島,81,
13:00,東京/羽田,12,
13:00,成田,12,
13:00,宮崎,11,
13:00,東京/羽田,10,
13:05,沖縄/那覇,4,
13:05,成田,5,
13:15,松山,6,
13:15,東京/羽田,3,
13:25,東京/羽田,8,
13:50,沖縄/那覇,7,
13:50,東京/羽田,4,
13:55,仙台,6,
13:55,名古屋/小牧,5,
13:55,関西,1,
14:00,東京/羽田,9,
14:10,対馬,81,
14:15,大阪/伊丹,6,
14:15,名古屋/中部,3,
14:20,東京/羽田,10,
14:25,鹿児島,81,
14:25,札幌/新千歳,1,
14:30,小松,82,
14:30,札幌/新千歳,5,
14:35,宮崎,12,
14:35,東京/羽田,11,
14:45,大阪/伊丹,82,
14:50,東京/羽田,2,
15:00,東京/羽田,8,
15:00,名古屋/中部,6,
15:05,宮崎,82,
15:15,成田,5,
15:20,東京/羽田,4,
15:30,東京/羽田,7,
15:30,新潟,1,
15:35,沖縄/那覇,12,
15:45,宮崎,9,
15:45,沖縄/那覇,6,
15:55,対馬,81,
15:55,東京/羽田,11,
15:55,東京/羽田,10,
15:55,大阪/伊丹,6,
15:55,名古屋/小牧,2,
16:15,名古屋/中部,11,
16:15,名古屋/中部,3,
16:20,大阪/伊丹,81,
16:20,東京/羽田,5,
16:25,東京/羽田,8,
16:30,仙台,82,
16:45,沖縄/那覇,12,
16:50,松山,11,
16:55,天草,81,
16:55,沖縄/那覇,4,
17:00,五島福江,82,
17:00,東京/羽田,9,
17:10,東京/羽田,7,
17:15,高知,6,
17:20,新潟,81,
17:30,出雲,81,
17:30,沖縄/那覇,11,
17:30,東京/羽田,6,
17:30,沖縄/那覇,1,
17:40,小松,82,
17:45,東京/羽田,3,
17:50,大阪/伊丹,11,
17:55,東京/羽田,8,
17:55,沖縄/那覇,5,
17:55,関西,4,
18:00,東京/羽田,10,
18:00,静岡,1,
18:10,対馬,81,
18:25,沖縄/那覇,12,
18:25,成田,2,
18:30,徳島,11,
18:35,宮崎,82,
18:35,茨城,3,
18:45,東京/羽田,7,
18:50,東京/羽田,4,
18:55,名古屋/中部,6,
18:55,大阪/伊丹,6,
18:55,名古屋/小牧,1,
19:00,東京/羽田,9,
19:00,成田,1,
19:10,仙台,82,
19:10,天草,81,
19:10,東京/羽田,12,
19:10,大阪/伊丹,11,
19:20,東京/羽田,8,
19:30,宮崎,82,
19:30,宮崎,11,
19:30,成田,5,
19:40,静岡,3,
19:55,東京/羽田,7,
20:00,東京/羽田,10,
20:00,名古屋/小牧,4,
20:00,成田,2,
20:05,東京/羽田,1,
20:15,宮崎,11,
20:15,沖縄/那覇,6,
20:25,名古屋/中部,6,
20:30,成田,1,
20:35,名古屋/中部,5,
20:55,沖縄/那覇,11,
20:55,東京/羽田,8,
21:00,関西,3,
21:05,東京/羽田,11,
21:05,東京/羽田,9,
21:15,東京/羽田,2,
21:25,東京/羽田,6,
21:25,東京/羽田,4,
