定刻,行先,ゲート番号,滑走路,滑走路到着時間,遅延
7:00,東京,D10,X,7:06,0
7:00,東京,D8,X,7:10,3
7:00,大阪,D81,X,7:15,0
7:00,東京,D2,X,7:19,2
7:00,東京,D4,X,7:23,2
7:05,大阪,D6,X,7:27,3
7:05,奄美大島,D6,X,7:31,3
7:10,沖縄/那覇,D82,X,7:36,0
7:10,宮崎,D12,X,7:40,1
7:10,宮崎,D82,X,7:45,0
7:15,出雲,D81,X,7:50,0
7:15,沖縄/那覇,D12,X,7:54,1
7:20,新潟,D82,X,7:59,0
7:25,小松,D81,X,8:04,0
7:25,成田,D3,X,8:08,2
7:35,東京,D7,X,8:12,3
7:40,名古屋/中部,D5,X,8:16,2
7:40,対馬,D82,X,8:21,0
7:45,福江,D82,X,8:27,0
7:50,松山,D81,X,8:32,0
7:55,仙台,D81,X,8:37,0
7:55,成田,D1,X,8:41,2
8:00,東京,D11,X,8:45,2
8:00,沖縄/那覇,D6,X,8:49,3
8:00,沖縄/那覇,D4,X,8:53,2
8:15,信州松本,D1,X,8:57,2
8:25,東京,D8,X,9:01,3
8:50,天草,D81,X,9:06,0
8:55,名古屋/中部,D5,X,9:10,2
8:55,沖縄/那覇,D4,X,9:14,2
8:55,仙台,D11,X,9:18,2
8:55,東京,D2,X,9:22,2
9:00,東京,D9,X,9:26,2
9:00,大阪,D11,X,9:30,2
9:00,高知,D6,X,9:34,3
9:05,名古屋/小牧,D3,X,9:38,2
9:10,東京,D7,X,9:42,3
9:10,東京,D12,X,9:46,1
9:10,バンコク/スワンナプーム,I54,X,9:50,0
9:15,ハノイ,I57,X,9:55,0
9:25,沖縄/那覇,D12,X,9:59,1
9:35,福江,D82,X,10:04,0
9:40,東京,D10,X,10:08,2
9:40,沖縄/那覇,D6,X,10:12,3
9:50,静岡,D3,X,10:16,2
9:50,宮崎,D82,X,10:22,0
9:55,名古屋/中部,D1,X,10:26,2
10:00,札幌/新千歳,D11,X,10:30,2
10:00,成田,D4,X,10:34,2
10:00,東京,D8,X,10:38,3
10:00,徳島,D6,X,10:42,3
10:05,成田,D5,X,10:46,2
10:05,対馬,D81,X,10:51,0
10:10,東京,D9,X,10:55,2
10:10,仙台,D81,X,11:00,0
10:10,名古屋/中部,D12,X,11:04,1
10:15,東京,D2,X,11:08,2
10:30,ハノイ,I55,X,11:12,0
10:35,宮崎,D6,X,11:16,3
10:55,名古屋/小牧,D1,X,11:20,2
10:55,台北/桃園,I53,X,11:25,0
11:00,東京,D7,X,11:29,3
11:10,東京,D10,X,11:33,2
11:15,静岡,D3,X,11:37,2
11:25,札幌/新千歳,D4,X,11:41,2
11:30,小松,D81,X,11:46,0
11:35,成田,D1,X,11:50,2
11:40,札幌/新千歳,D6,X,11:54,3
11:40,いわて花巻,D5,X,11:58,2
11:40,名古屋/中部,D11,X,12:02,2
11:45,東京,D8,X,12:06,3
11:45,プサン,I54,X,12:10,0
11:50,東京,D11,X,12:14,2
11:55,沖縄/那覇,D2,X,12:18,2
11:55,松山,D6,X,12:22,3
12:00,大阪,D82,X,12:27,0
12:00,東京,D7,X,12:31,3
12:05,沖縄/那覇,D9,X,12:35,2
12:05,ソウル/仁川,I55,X,12:40,0
12:10,東京,D3,X,12:44,2
12:20,台北/桃園,I53,X,12:48,0
12:25,東京,D10,X,12:52,2
12:25,石垣,D1,X,12:56,2
12:25,宮崎,D82,X,13:01,0
12:30,信州松本,D5,X,13:05,2
12:30,仙台,D81,X,13:10,0
12:35,札幌/新千歳,D12,X,13:14,1
12:35,沖縄/那覇,D4,X,13:18,2
12:40,ソウル/仁川,I56,X,13:23,0
12:50,名古屋/中部,D81,X,13:28,0
12:50,宮崎,D11,X,13:32,2
12:50,東京,D6,X,13:36,3
12:55,沖縄/那覇,D11,X,13:40,2
13:00,東京,D8,X,13:44,3
13:00,屋久島,D81,X,13:49,0
13:15,松山,D6,X,13:53,3
13:20,東京,D9,X,13:57,2
13:25,沖縄/那覇,D12,X,14:01,1
13:50,沖縄/那覇,D11,X,14:05,2
13:50,東京,D5,X,14:09,2
13:55,仙台,D11,X,14:13,2
14:00,関西,D2,X,14:17,2
14:00,札幌/新千歳,D4,X,14:21,2
14:05,対馬,D81,X,14:26,0
14:05,東京,D7,X,14:30,3
14:15,東京,D10,X,14:34,2
14:15,東京,D6,X,14:38,3
14:15,香港,I53,X,14:43,0
14:25,札幌/新千歳,D8,X,14:47,3
14:25,小松,D82,X,14:52,0
14:30,宮崎,D6,X,14:56,3
14:30,鹿児島,D81,X,15:01,0
14:40,新潟,D3,X,15:05,2
14:45,名古屋/中部,D1,X,15:09,2
14:45,東京,D1,X,15:13,2
14:45,台北/桃園,I56,X,15:18,0
14:55,プサン,I54,X,15:22,0
15:00,沖縄/那覇,D11,X,15:26,2
15:00,東京,D9,X,15:30,2
15:00,大阪,D11,X,15:34,2
15:00,宮崎,D82,X,15:39,0
15:10,成田,D4,X,15:43,2
15:10,東京,D2,X,15:47,2
15:25,東京,D7,X,15:51,3
15:30,マニラ,I55,X,15:56,0
15:35,宮崎,D10,X,16:00,2
15:50,大阪,D11,X,16:04,2
15:50,沖縄/那覇,D6,X,16:08,3
15:55,対馬,D81,X,16:13,0
15:55,名古屋/中部,D1,X,16:17,2
15:55,東京,D6,X,16:21,3
15:55,マニラ,I53,X,16:25,0
16:00,名古屋/中部,D5,X,16:29,2
16:10,東京,D8,X,16:33,3
16:15,大阪,D81,X,16:39,0
16:20,東京,D9,X,16:43,2
16:20,東京,D3,X,16:47,2
16:30,名古屋/小牧,D2,X,16:51,2
16:30,仙台,D82,X,16:56,0
16:45,沖縄/那覇,D6,X,17:00,3
16:45,松山,D11,X,17:04,2
16:55,天草,D81,X,17:09,0
16:55,沖縄/那覇,D1,X,17:13,2
16:55,東京,D7,X,17:17,3
17:00,福江,D82,X,17:22,0
17:00,成田,D4,X,17:26,2
17:00,沖縄/那覇,D1,X,17:30,2
17:05,東京,D10,X,17:34,2
17:15,高知,D12,X,17:38,1
17:20,沖縄/那覇,D5,X,17:42,2
17:25,新潟,D81,X,17:47,0
17:30,東京,D8,X,17:51,3
17:30,出雲,D81,X,17:56,0
17:35,ソウル/仁川,I54,X,18:00,0
17:40,小松,D82,X,18:05,0
17:40,東京,D3,X,18:09,2
17:45,大阪,D11,X,18:13,2
17:50,東京,D9,X,18:17,2
17:55,沖縄/那覇,D1,X,18:21,2
18:00,関西,D2,X,18:25,2
18:00,東京,D6,X,18:29,3
18:00,ソウル/仁川,I53,X,18:34,0
18:10,対馬,D81,X,18:39,0
18:25,徳島,D12,X,18:43,1
18:25,宮崎,D82,X,18:48,0
18:30,静岡,D5,X,18:52,2
18:30,名古屋/中部,D11,X,18:56,2
18:35,東京,D10,X,19:00,2
18:35,沖縄/那覇,D7,X,19:04,3
18:35,茨城,D3,X,19:08,2
18:40,名古屋/小牧,D1,X,19:12,2
18:40,成田,D1,X,19:16,2
18:40,成田,D4,X,19:20,2
18:55,大阪,D6,X,19:24,3
19:00,仙台,D82,X,19:29,0
19:00,東京,D11,X,19:33,2
19:00,台北/桃園,欠航,,,
19:05,東京,D8,X,19:37,3
19:10,天草,D81,X,19:42,0
19:10,大阪,D6,X,19:46,3
19:10,台北/桃園,欠航,,,
19:15,東京,D9,X,19:50,2
19:20,宮崎,D11,X,19:54,2
19:20,成田,D2,X,19:58,2
19:30,宮崎,D82,X,20:03,0
19:40,成田,D4,X,20:07,2
19:50,東京,D10,X,20:11,2
19:55,静岡,D1,X,20:15,2
20:00,東京,D7,X,20:19,3
20:00,東京,D5,X,20:23,2
20:05,名古屋/小牧,D2,X,20:27,2
20:10,宮崎,D8,X,20:31,3
20:10,名古屋/中部,D11,X,20:35,2
20:15,沖縄/那覇,D11,X,20:39,2
20:20,成田,D1,X,20:43,2
20:20,高雄,欠航,,,
20:25,成田,D3,X,20:47,2
20:40,名古屋/中部,D4,X,20:51,2
20:50,東京,D9,X,20:56,0
20:55,沖縄/那覇,D12,X,21:02,0
21:00,東京,D6,X,21:06,1
21:00,台北/桃園,欠航,,,
21:05,東京,D5,X,21:11,0
21:10,関西,D1,X,21:16,0
21:15,東京,D11,X,21:21,0
21:20,東京,D2,X,21:26,0
,,,,,
平均遅延時間,65.44214117029637,[s],,,
