定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
7:00,7:00,東京,,D10,34R,7:10,0
7:00,7:00,東京,,D8,34L,7:12,0
7:00,7:04,大阪,,D81,34R,7:11,4
7:00,7:01,東京,,D2,34R,7:12,1
7:00,7:01,東京,,D4,34L,7:13,1
7:05,7:05,大阪,,D6,34R,7:17,0
7:05,7:06,奄美大島,,D82,34L,7:14,1
7:10,7:10,沖縄/那覇,,D1,34L,7:23,0
7:10,7:11,宮崎,,D81,34R,7:18,1
7:10,7:12,宮崎,,D82,34R,7:19,2
7:15,7:15,出雲,,D81,34R,7:23,0
7:15,7:15,沖縄/那覇,,D12,34R,7:25,0
7:20,7:20,新潟,,D82,34L,7:28,0
7:25,7:25,小松,,D81,34R,7:33,0
7:25,7:25,成田,,D3,34L,7:38,0
7:35,7:35,東京,,D7,34R,7:46,0
7:40,7:40,名古屋/中部,,D5,34L,7:52,0
7:40,7:40,対馬,,D82,34R,7:47,0
7:45,7:45,福江,,D82,34R,7:52,0
7:50,7:50,松山,,D81,34L,7:58,0
7:55,7:55,仙台,,D81,16L,8:02,0
7:55,7:55,成田,,D1,16R,8:04,0
8:00,8:00,東京,,D11,16L,8:06,0
8:00,8:00,沖縄/那覇,,D6,16R,8:08,0
8:00,8:00,沖縄/那覇,,D4,16L,8:08,0
8:05,,ハノイ,,着陸,16L,8:09,4
8:10,,バンコク/スワンナプーム,,着陸,16R,8:10,0
8:15,8:15,信州松本,,D1,16L,8:23,0
8:15,,大阪,,着陸,16R,8:15,0
8:15,,関西,,着陸,16R,8:16,1
8:15,,東京,,着陸,16R,8:17,2
8:15,,東京,,着陸,16R,8:18,3
8:20,,ハノイ,,着陸,16R,8:20,0
8:20,,天草,,着陸,16R,8:21,1
8:25,8:25,東京,,D8,16R,8:33,0
8:30,,宮崎,,着陸,16L,8:30,0
8:35,,名古屋/小牧,,着陸,16L,8:35,0
8:35,,東京,,着陸,16R,8:35,0
8:40,,沖縄/那覇,,着陸,16L,8:40,0
8:50,8:50,天草,,D81,16R,8:57,0
8:50,,東京,,着陸,16L,8:50,0
8:55,8:55,名古屋/中部,,D5,16L,9:03,0
8:55,8:55,沖縄/那覇,,D4,16R,9:03,0
8:55,8:58,仙台,,D11,16L,9:04,3
8:55,8:56,東京,,D2,16R,9:04,1
9:00,9:00,東京,,D9,16L,9:06,0
9:00,9:00,大阪,,D11,16R,9:07,0
9:00,9:01,高知,,D6,16L,9:07,1
9:00,,沖縄/那覇,,着陸,16R,9:08,8
9:00,,東京,,着陸,16L,9:08,8
9:00,,名古屋/中部,,着陸,16R,9:09,9
9:05,9:05,名古屋/小牧,,D3,16L,9:13,0
9:05,,宮崎,,着陸,16R,9:10,5
9:10,9:10,東京,,D7,16R,9:18,0
9:10,9:10,東京,,D12,16L,9:16,0
9:10,9:10,バンコク/スワンナプーム,,I54,16L,9:17,0
9:15,9:15,ハノイ,,I57,16L,9:23,0
9:15,,大阪,,着陸,16R,9:19,4
9:15,,成田,,着陸,16R,9:20,5
9:15,,宮崎,,着陸,16R,9:21,6
9:15,,成田,,着陸,16R,9:22,7
9:20,,東京,,着陸,16R,9:23,3
9:20,,静岡,,着陸,16L,9:24,4
9:20,,対馬,,着陸,16R,9:24,4
9:25,9:25,沖縄/那覇,,D12,16L,9:31,0
9:25,,名古屋/中部,,着陸,16R,9:25,0
9:35,9:35,福江,,D82,16R,9:43,0
9:35,,福江,,着陸,16L,9:35,0
9:35,,東京,,着陸,16L,9:36,1
9:40,9:40,東京,,D10,16L,9:46,0
9:40,9:40,沖縄/那覇,,D6,16R,9:48,0
9:40,,仙台,,着陸,16L,9:47,7
9:50,9:50,静岡,,D3,16L,9:58,0
9:50,9:50,宮崎,,D82,16R,9:58,0
9:55,9:55,名古屋/中部,,D1,16R,10:04,0
9:55,,名古屋/小牧,,着陸,16L,9:59,4
9:55,,東京,,着陸,16L,10:00,5
10:00,10:00,札幌/新千歳,,D11,16L,10:06,0
10:00,10:00,成田,,D4,16R,10:08,0
10:00,10:00,東京,,D8,16L,10:07,0
10:00,10:01,徳島,,D6,16L,10:08,1
10:00,,松山,,着陸,16L,10:09,9
10:00,,台北/桃園,,着陸,16R,10:09,9
10:05,10:05,成田,,D5,16L,10:13,0
10:05,10:05,対馬,,D81,16R,10:12,0
10:10,10:10,東京,,D9,16R,10:17,0
10:10,10:10,仙台,,D81,16L,10:17,0
10:10,10:13,名古屋/中部,,D12,16L,10:18,3
10:15,10:15,東京,,D2,16R,10:24,0
10:30,10:30,ハノイ,,I55,16L,10:37,0
10:35,10:35,宮崎,,D6,16R,10:43,0
10:45,,成田,,着陸,16L,10:45,0
10:45,,静岡,,着陸,16R,10:45,0
10:50,,プサン,,着陸,16L,10:50,0
10:50,,東京,,着陸,16R,10:50,0
10:55,10:55,名古屋/小牧,,D1,16L,11:03,0
10:55,10:55,台北/桃園,,I53,16R,11:01,0
10:55,,小松,,着陸,16R,11:02,7
10:55,,成田,,着陸,16R,11:03,8
10:55,,名古屋/中部,,着陸,16R,11:04,9
11:00,11:00,東京,,D7,16L,11:07,0
11:00,,ソウル/仁川,,着陸,16R,11:05,5
11:00,,東京,,着陸,16R,11:06,6
11:05,,ソウル/仁川,,着陸,16R,11:07,2
11:05,,大阪,,着陸,16R,11:08,3
11:10,11:10,東京,,D10,16L,11:16,0
11:10,,関西,,着陸,16R,11:10,0
11:10,,東京,,着陸,16R,11:11,1
11:15,11:15,静岡,,D3,16R,11:24,0
11:15,,新潟,,着陸,16L,11:17,2
11:15,,東京,,着陸,16L,11:18,3
11:20,,台北/桃園,,着陸,16L,11:20,0
11:25,11:25,札幌/新千歳,,D4,16L,11:33,0
11:25,,沖縄/那覇,,着陸,16R,11:25,0
11:25,,高知,,着陸,16R,11:26,1
11:30,11:30,小松,,D81,16R,11:37,0
11:30,,東京,,着陸,16L,11:34,4
11:30,,沖縄/那覇,,着陸,16L,11:35,5
11:30,,東京,,着陸,16L,11:36,6
11:35,11:35,成田,,D1,16L,11:43,0
11:40,11:40,札幌/新千歳,,D6,16R,11:48,0
11:40,11:40,いわて花巻,,D5,16L,11:48,0
11:40,11:43,名古屋/中部,,D11,16L,11:49,3
11:45,11:45,東京,,D8,16R,11:53,0
11:45,11:45,プサン,,I54,16L,11:52,0
11:50,11:50,東京,,D11,16L,11:56,0
11:50,,宮崎,,着陸,16R,11:54,4
11:55,11:55,沖縄/那覇,,D2,16R,12:04,0
11:55,11:55,松山,,D6,16L,12:02,0
11:55,,名古屋/小牧,,着陸,16L,12:03,8
11:55,,茨城,,着陸,16L,12:04,9
12:00,12:00,大阪,,D82,16R,12:08,0
12:00,12:00,東京,,D7,16L,12:07,0
12:00,,札幌/新千歳,,着陸,16L,12:08,8
12:00,,大阪,,着陸,16R,12:09,9
12:00,,東京,,着陸,16L,12:09,9
12:05,12:05,沖縄/那覇,,D9,16R,12:12,0
12:05,12:05,ソウル/仁川,,I55,16L,12:12,0
12:10,12:10,東京,,D3,16R,12:19,0
12:10,,出雲,,着陸,16L,12:13,3
12:10,,沖縄/那覇,,着陸,16L,12:14,4
12:10,,東京,,着陸,16L,12:15,5
12:15,,宮崎,,着陸,16L,12:16,1
12:20,12:20,台北/桃園,,I53,16L,12:27,0
12:20,,仙台,,着陸,16R,12:20,0
12:25,12:25,東京,,D10,16R,12:32,0
12:25,12:25,石垣,,D1,16L,12:33,0
12:25,12:26,宮崎,,D82,16R,12:33,1
12:25,,東京,,着陸,16R,12:34,9
12:30,12:30,信州松本,,D5,16L,12:38,0
12:30,12:30,仙台,,D81,16R,12:37,0
12:35,12:35,札幌/新千歳,,D12,16R,12:41,0
12:35,12:35,沖縄/那覇,,D4,16L,12:43,0
12:40,12:40,ソウル/仁川,,I56,16R,12:47,0
12:40,,徳島,,着陸,16L,12:44,4
12:50,12:50,名古屋/中部,,D81,16L,12:57,0
12:50,12:50,宮崎,,D11,16R,12:57,0
12:50,12:50,東京,,D6,16R,12:58,0
12:50,,東京,,着陸,16L,12:58,8
12:50,,沖縄/那覇,,着陸,16L,12:59,9
12:55,12:55,沖縄/那覇,,D11,16R,13:02,0
13:00,13:00,東京,,D8,16L,13:07,0
13:00,13:00,屋久島,,D81,16R,13:07,0
13:05,,沖縄/那覇,,着陸,16L,13:08,3
13:10,,東京,,着陸,16R,13:10,0
13:10,,札幌/新千歳,,着陸,16L,13:10,0
13:15,13:15,松山,,D6,16L,13:22,0
13:15,,香港,,着陸,16R,13:15,0
13:15,,沖縄/那覇,,着陸,16R,13:16,1
13:20,13:20,東京,,D9,16R,13:27,0
13:20,,仙台,,着陸,16L,13:23,3
13:25,13:25,沖縄/那覇,,D12,16L,13:31,0
13:25,,東京,,着陸,16R,13:28,3
13:25,,福江,,着陸,16R,13:29,4
13:35,,名古屋/中部,,着陸,16R,13:35,0
13:40,,札幌/新千歳,,着陸,16L,13:40,0
13:40,,東京,,着陸,16R,13:40,0
13:45,,台北/桃園,,着陸,16L,13:45,0
13:50,13:50,沖縄/那覇,,D11,16R,13:57,0
13:50,13:50,東京,,D5,16L,13:58,0
13:50,,屋久島,,着陸,16R,13:58,8
13:55,13:55,仙台,,D11,16R,14:02,0
13:55,,東京,,着陸,16L,13:59,4
13:55,,対馬,,着陸,16L,14:00,5
14:00,14:00,関西,,D2,16L,14:08,0
14:00,14:00,札幌/新千歳,,D4,16R,14:08,0
14:00,,松山,,着陸,16L,14:09,9
14:05,14:05,対馬,,D81,16R,14:12,0
14:05,14:05,東京,,D7,16L,14:12,0
14:05,,新潟,,着陸,16L,14:13,8
14:05,,東京,,着陸,16R,14:13,8
14:05,,プサン,,着陸,16L,14:14,9
14:15,14:15,東京,,D10,16R,14:22,0
14:15,14:15,東京,,D6,16L,14:22,0
14:15,14:17,香港,,I53,16R,14:23,2
14:15,,沖縄/那覇,,着陸,16L,14:23,8
14:20,,大阪,,着陸,16R,14:24,4
14:25,14:25,札幌/新千歳,,D8,16L,14:32,0
14:25,14:25,小松,,D82,16R,14:33,0
14:25,,東京,,着陸,16L,14:33,8
14:25,,成田,,着陸,16R,14:34,9
14:30,14:30,宮崎,,D6,16L,14:37,0
14:30,14:30,鹿児島,,D81,16R,14:37,0
14:30,,マニラ,,着陸,16L,14:38,8
14:30,,東京,,着陸,16R,14:38,8
14:40,14:40,新潟,,D3,16L,14:48,0
14:45,14:45,名古屋/中部,,D1,16R,14:54,0
14:45,14:45,東京,,D1,16L,14:53,0
14:45,14:47,台北/桃園,,I56,16L,14:54,2
14:55,14:55,プサン,,I54,16R,15:01,0
14:55,,マニラ,,着陸,16L,14:55,0
14:55,,東京,,着陸,16L,14:56,1
15:00,15:00,沖縄/那覇,,D11,16L,15:06,0
15:00,15:00,東京,,D9,16R,15:07,0
15:00,15:01,大阪,,D11,16L,15:07,1
15:00,15:01,宮崎,,D82,16L,15:08,1
15:00,,小松,,着陸,16R,15:08,8
15:00,,宮崎,,着陸,16L,15:09,9
15:00,,沖縄/那覇,,着陸,16R,15:09,9
15:05,,名古屋/中部,,着陸,16L,15:10,5
15:10,15:10,成田,,D4,16R,15:18,0
15:10,15:10,東京,,D2,16L,15:18,0
15:10,,東京,,着陸,16L,15:19,9
15:15,,名古屋/中部,,着陸,16R,15:19,4
15:20,,松山,,着陸,16L,15:20,0
15:25,15:25,東京,,D7,16R,15:33,0
15:30,15:30,マニラ,,I55,16L,15:37,0
15:35,15:35,宮崎,,D10,16R,15:42,0
15:35,,東京,,着陸,16L,15:38,3
15:40,,東京,,着陸,16L,15:40,0
15:45,,対馬,,着陸,16L,15:45,0
15:50,15:50,大阪,,D11,16R,15:57,0
15:50,15:50,沖縄/那覇,,D6,16L,15:57,0
15:50,,東京,,着陸,16R,15:58,8
15:55,15:55,対馬,,D81,16L,16:02,0
15:55,15:55,名古屋/中部,,D1,16R,16:04,0
15:55,15:56,東京,,D6,16L,16:03,1
15:55,15:58,マニラ,,I53,16L,16:04,3
15:55,,沖縄/那覇,,着陸,16R,16:05,10
16:00,16:00,名古屋/中部,,D5,16L,16:08,0
16:00,,信州松本,,着陸,16R,16:06,6
16:00,,名古屋/中部,,着陸,16R,16:07,7
16:05,,沖縄/那覇,,着陸,16R,16:08,3
16:10,16:10,東京,,D8,16L,16:17,0
16:10,,東京,,着陸,16R,16:10,0
16:10,,いわて花巻,,着陸,16R,16:11,1
16:15,16:15,大阪,,D81,16R,16:22,0
16:15,,成田,,着陸,16L,16:18,3
16:20,16:20,東京,,D9,16L,16:26,0
16:20,16:20,東京,,D3,16R,16:29,0
16:20,,大阪,,着陸,16L,16:27,7
16:20,,沖縄/那覇,,着陸,16L,16:28,8
16:25,,天草,,着陸,16L,16:29,4
16:30,16:30,名古屋/小牧,,D2,16R,16:39,0
16:30,16:30,仙台,,D82,16L,16:37,0
16:35,,沖縄/那覇,,着陸,16L,16:38,3
16:40,,宮崎,,着陸,16L,16:40,0
16:45,16:45,沖縄/那覇,,D6,16R,16:53,0
16:45,16:45,松山,,D11,16L,16:51,0
16:45,,ソウル/仁川,,着陸,16L,16:52,7
16:45,,札幌/新千歳,,着陸,16L,16:53,8
16:50,,東京,,着陸,16L,16:54,4
16:50,,鹿児島,,着陸,16R,16:54,4
16:55,16:55,天草,,D81,16L,17:02,0
16:55,16:55,沖縄/那覇,,D1,16R,17:04,0
16:55,16:56,東京,,D7,16L,17:03,1
16:55,,仙台,,着陸,16L,17:04,9
17:00,17:00,福江,,D82,16R,17:08,0
17:00,17:00,成田,,D4,16L,17:08,0
17:00,17:00,沖縄/那覇,,D1,16R,17:09,0
17:00,,ソウル/仁川,,着陸,16L,17:09,9
17:00,,札幌/新千歳,,着陸,16L,17:10,10
17:00,,東京,,着陸,16R,17:10,10
17:00,,東京,,着陸,16L,17:11,11
17:05,17:05,東京,,D10,16R,17:12,0
17:05,,宮崎,,着陸,16L,17:12,7
17:10,,石垣,,着陸,16L,17:13,3
17:15,17:15,高知,,D12,16R,17:21,0
17:15,,関西,,着陸,16L,17:15,0
17:20,17:20,沖縄/那覇,,D5,16L,17:28,0
17:25,17:25,新潟,,D81,16R,17:32,0
17:30,17:30,東京,,D8,16L,17:37,0
17:30,17:30,出雲,,D81,16R,17:37,0
17:35,17:35,ソウル/仁川,,I54,16L,17:42,0
17:35,,対馬,,着陸,16R,17:38,3
17:40,17:40,小松,,D82,16R,17:48,0
17:40,17:40,東京,,D3,16L,17:48,0
17:40,,成田,,着陸,16R,17:49,9
17:45,17:45,大阪,,D11,16L,17:51,0
17:45,,東京,,着陸,16R,17:50,5
17:45,,宮崎,,着陸,16R,17:51,6
17:50,17:50,東京,,D9,16R,17:57,0
17:50,,沖縄/那覇,,着陸,16L,17:52,2
17:50,,東京,,着陸,16L,17:53,3
17:55,17:55,沖縄/那覇,,D1,16L,18:03,0
17:55,,東京,,着陸,16R,17:58,3
17:55,,小松,,着陸,16R,17:59,4
18:00,18:00,関西,,D2,34L,18:13,0
18:00,18:00,東京,,D6,34R,18:12,0
18:00,18:04,ソウル/仁川,,I53,34R,18:13,4
18:00,,台北/桃園,,着陸,34R,18:14,14
18:00,,名古屋/小松,,着陸,34L,18:14,14
18:00,,東京,,着陸,34R,18:15,15
18:00,,沖縄/那覇,,着陸,34L,18:15,15
18:05,,台北/桃園,,着陸,34R,18:16,11
18:10,18:10,対馬,,D81,34L,18:18,0
18:10,,静岡,,着陸,34R,18:17,7
18:15,,名古屋/中部,,着陸,34R,18:18,3
18:20,,東京,,着陸,34R,18:20,0
18:20,,仙台,,着陸,34L,18:20,0
18:25,18:25,徳島,,D12,34R,18:35,0
18:25,18:25,宮崎,,D82,34L,18:33,0
18:25,,大阪,,着陸,34L,18:34,9
18:30,18:30,静岡,,D5,34L,18:42,0
18:30,18:30,名古屋/中部,,D11,34R,18:40,0
18:30,,仙台,,着陸,34R,18:41,11
18:35,18:35,東京,,D10,34R,18:45,0
18:35,18:35,沖縄/那覇,,D7,34L,18:47,0
18:35,18:35,茨城,,D3,34R,18:47,0
18:40,18:40,名古屋/小牧,,D1,34L,18:53,0
18:40,18:40,成田,,D1,34R,18:52,0
18:40,18:42,成田,,D4,34R,18:53,2
18:40,,天草,,着陸,34L,18:54,14
18:40,,成田,,着陸,34R,18:54,14
18:50,,松山,,着陸,34L,18:55,5
18:55,18:55,大阪,,D6,34R,19:07,0
18:55,,東京,,着陸,34L,18:56,1
19:00,19:00,仙台,,D82,34L,19:08,0
19:00,19:00,東京,,D11,34R,19:10,0
19:00,,台北/桃園,,欠航,,,
19:00,,福江,,着陸,34L,19:09,9
19:00,,成田,,着陸,34L,19:10,10
19:00,,東京,,着陸,34L,19:11,11
19:05,19:05,東京,,D8,34R,19:16,0
19:10,19:10,天草,,D81,34L,19:18,0
19:10,19:10,大阪,,D6,34R,19:22,0
19:10,,台北/桃園,,欠航,,,
19:10,,信州松本,,着陸,34L,19:19,9
19:15,19:15,東京,,D9,34L,19:26,0
19:20,19:20,宮崎,,D11,34R,19:30,0
19:20,19:20,成田,,D2,34L,19:33,0
19:20,,高雄,,着陸,34R,19:31,11
19:20,,東京,,着陸,34R,19:32,12
19:25,,名古屋/中部,,着陸,34R,19:33,8
19:30,19:30,宮崎,,D82,34L,19:38,0
19:35,,沖縄/那覇,,着陸,34R,19:35,0
19:35,,札幌/新千歳,,着陸,34R,19:36,1
19:35,,静岡,,着陸,34R,19:37,2
19:40,19:40,成田,,D4,34R,19:52,0
19:40,,高知,,着陸,34L,19:40,0
19:40,,成田,,着陸,34L,19:41,1
19:50,19:50,東京,,D10,34L,20:01,0
19:50,,対馬,,着陸,34R,19:53,3
19:55,19:55,静岡,,D1,34R,20:07,0
19:55,,東京,,着陸,34L,20:02,7
20:00,20:00,東京,,D7,34L,20:12,0
20:00,20:00,東京,,D5,34R,20:12,0
20:00,,台北/桃園,,着陸,34R,20:13,13
20:00,,奄美大島,,着陸,34L,20:13,13
20:00,,名古屋/中部,,着陸,34R,20:14,14
20:05,20:05,名古屋/小牧,,D2,34L,20:18,0
20:05,,沖縄/那覇,,着陸,34R,20:15,10
20:10,20:10,宮崎,,D8,34R,20:21,0
20:10,20:10,名古屋/中部,,D11,34L,20:21,0
20:15,20:15,沖縄/那覇,,D11,34L,20:26,0
20:20,20:20,成田,,D1,34R,20:32,0
20:20,,高雄,,欠航,,,
20:20,,出雲,,着陸,34L,20:27,7
20:25,20:25,成田,,D3,34L,20:38,0
20:25,,名古屋/中部,,着陸,34R,20:33,8
20:25,,沖縄/那覇,,着陸,34R,20:34,9
20:25,,東京,,着陸,34R,20:35,10
20:30,,東京,,着陸,34R,20:36,6
20:30,,高崎,,着陸,34R,20:37,7
20:35,,東京,,着陸,34R,20:38,3
20:40,20:40,名古屋/中部,,D4,34L,20:52,0
20:50,20:50,東京,,D9,34R,21:01,0
20:50,,沖縄/那覇,,着陸,34L,20:53,3
20:55,20:55,沖縄/那覇,,D12,34L,21:05,0
20:55,,東京,,着陸,34R,21:02,7
20:55,,成田,,着陸,34R,21:03,8
20:55,,仙台,,着陸,34R,21:04,9
21:00,21:00,東京,,D6,34R,21:12,0
21:00,,台北/桃園,,欠航,,,
21:00,,東京,,着陸,34L,21:06,6
21:00,,沖縄/那覇,,着陸,34L,21:07,7
21:05,21:05,東京,,D5,34L,21:17,0
21:10,21:10,関西,,D1,34R,21:22,0
21:10,,徳島,,着陸,34L,21:18,8
21:10,,小松,,着陸,34L,21:19,9
21:15,21:15,東京,,D11,34L,21:26,0
21:15,,大阪,,着陸,34R,21:23,8
21:20,21:20,東京,,D2,34R,21:32,0
21:20,,新潟,,着陸,34L,21:27,7
21:25,,東京,,着陸,34L,21:28,3
21:25,,成田,,着陸,34L,21:29,4
21:25,,沖縄/那覇,,着陸,34L,21:30,5
21:30,,大阪,,着陸,34L,21:31,1
21:30,,名古屋/中部,,着陸,34L,21:32,2
21:30,,沖縄/那覇,,着陸,34L,21:33,3
