定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
7:00,7:00,東京,,D10,I,7:11,0.0
7:00,7:00,東京,,D8,AN,7:12,0.0
7:00,7:05,大阪,,D81,I,7:13,4.654654654654648
7:00,7:02,東京,,D2,AN,7:14,1.0450450450450566
7:00,7:03,東京,,D4,I,7:15,2.540540540540557
7:05,7:05,大阪,,D6,AN,7:17,0.0
7:05,7:05,奄美大島,,D6,I,7:17,0.0
7:10,7:11,沖縄/那覇,,D82,I,7:19,0.8558558558558919
7:10,7:10,宮崎,,D12,AN,7:21,0.0
7:10,7:13,宮崎,,D82,I,7:21,2.855855855855892
7:15,7:15,出雲,,D81,AN,7:24,0.0
7:15,7:15,沖縄/那覇,,D12,I,7:25,0.0
7:20,7:20,新潟,,D82,AN,7:29,0.0
7:25,7:25,小松,,D81,I,7:33,0.0
7:25,7:25,成田,,D3,AN,7:38,0.0
7:35,7:35,東京,,D7,I,7:47,0.0
7:40,7:40,名古屋/中部,,D5,AN,7:53,0.0
7:40,7:41,対馬,,D82,I,7:49,0.6396396396396692
7:45,7:45,福江,,D82,I,7:53,0.0
7:50,7:50,松山,,D81,AN,7:59,0.0
7:55,7:55,仙台,,D81,I,8:03,0.0
7:55,7:55,成田,,D1,AN,8:08,0.0
8:00,8:01,東京,,D11,S,8:05,0.41141141141142723
8:00,8:04,沖縄/那覇,,D6,S,8:07,3.390390390390409
8:00,8:06,沖縄/那覇,,D4,S,8:09,5.381381381381349
8:05,,ハノイ,,着陸,X,8:10,4.651651651651628
8:10,,バンコク/スワンナプーム,,着陸,S,8:11,0.7087087087087033
8:15,8:15,信州松本,,D1,X,8:20,0.0
8:15,,大阪,,着陸,S,8:15,0.0
8:15,,関西,,着陸,S,8:17,2.0
8:15,,東京,,着陸,S,8:19,4.0
8:15,,東京,,着陸,S,8:21,6.0
8:20,,ハノイ,,着陸,X,8:22,1.6636636636636468
8:20,,天草,,着陸,S,8:23,3.0
8:25,8:25,東京,,D8,X,8:29,0.0
8:30,,宮崎,,着陸,S,8:30,0.0
8:35,,名古屋/小牧,,着陸,X,8:35,0.0
8:35,,東京,,着陸,S,8:35,0.0
8:40,,沖縄/那覇,,着陸,S,8:40,0.0
8:50,8:50,天草,,D81,X,8:58,0.0
8:50,,東京,,着陸,S,8:50,0.0
8:55,8:55,名古屋/中部,,D5,S,8:59,0.0
8:55,8:55,沖縄/那覇,,D4,X,9:00,0.0
8:55,8:57,仙台,,D11,S,9:01,1.1591591591592079
8:55,8:57,東京,,D2,X,9:02,1.7387387387387814
