ŽžŠÔ,”òs‹@,ŠŠ‘–˜H
7:00.0,D2,34R
7:00.0,D4,34L
7:02.1,D8,34R
7:02.6,D10,34L
7:06.7,D81,34R
7:05.0,D1,34L
7:05.0,D6,34R
7:10.0,D9,34R
7:10.9,D82,34L
7:11.9,D82,34L
7:15.0,D12,34L
7:15.0,D81,34R
7:20.0,D82,34R
7:25.0,D3,34L
7:25.0,D81,34R
7:35.0,D7,34R
7:40.0,D5,34L
7:40.0,D82,34R
7:45.0,D82,34R
7:50.0,D81,34L
7:55.0,D1,16L
7:55.0,D81,16L
8:00.0,D4,16R
8:00.0,D6,16L
8:00.2,D11,16L
8:05.2,’…—¤,16L
8:10.0,’…—¤,16R
8:15.0,’…—¤,16L
8:15.0,’…—¤,16R
8:16.0,’…—¤,16L
8:16.0,’…—¤,16R
8:15.0,D1,16L
8:20.0,’…—¤,16R
8:20.0,’…—¤,16L
8:25.0,D8,16L
8:30.0,’…—¤,16R
8:35.0,’…—¤,16L
8:35.0,’…—¤,16R
8:40.0,’…—¤,16L
8:50.0,’…—¤,16R
8:50.0,D81,16L
8:55.0,D2,16R
8:55.0,D4,16L
8:56.8,D5,16L
8:55.7,D10,16R
9:00.8,’…—¤,16L
9:01.2,’…—¤,16R
9:01.8,’…—¤,16L
9:00.0,D6,16R
9:00.0,D9,16L
9:00.6,D11,16L
9:05.0,’…—¤,16R
9:05.0,D3,16L
9:10.0,D7,16R
9:10.0,D12,16L
9:10.0,I54,16R
9:15.3,’…—¤,16L
9:16.3,’…—¤,16L
9:16.8,’…—¤,16R
9:17.3,’…—¤,16L
9:15.0,I57,16R
9:20.0,’…—¤,16L
9:21.0,’…—¤,16L
9:22.0,’…—¤,16L
9:25.0,’…—¤,16R
9:25.0,D12,16L
9:35.0,’…—¤,16R
9:35.0,’…—¤,16L
9:35.0,D82,16L
9:40.0,’…—¤,16R
9:40.0,D6,16R
9:40.0,D10,16L
9:50.0,D3,16L
9:50.0,D82,16R
9:55.0,’…—¤,16L
9:56.0,’…—¤,16L
9:55.0,D1,16L
10:00.0,’…—¤,16R
10:00.0,’…—¤,16L
10:00.0,D4,16L
10:00.0,D6,16R
10:01.8,D8,16L
10:00.2,D11,16R
10:05.0,D5,16L
10:05.0,D81,16R
10:10.0,D9,16L
10:10.0,D12,16R
10:10.0,D81,16L
10:15.0,D2,16R
10:30.0,I55,16L
10:35.0,D6,16R
10:45.0,’…—¤,16L
10:45.0,’…—¤,16R
10:50.0,’…—¤,16L
10:50.0,’…—¤,16R
10:55.0,’…—¤,16L
10:55.0,’…—¤,16R
10:56.0,’…—¤,16L
10:55.0,D1,16R
10:55.0,I53,16L
11:00.2,’…—¤,16R
11:01.2,’…—¤,16R
11:00.0,D7,16L
11:05.0,’…—¤,16R
11:05.0,’…—¤,16L
11:10.0,’…—¤,16L
11:10.0,’…—¤,16R
11:10.0,D10,16L
11:15.0,’…—¤,16R
11:15.0,’…—¤,16L
11:15.0,D3,16L
11:20.0,’…—¤,16R
11:25.0,’…—¤,16L
11:25.0,’…—¤,16R
11:25.0,D4,16L
11:30.0,’…—¤,16R
11:30.0,’…—¤,16L
11:31.0,’…—¤,16L
11:30.0,D81,16R
11:35.0,D1,16L
11:40.0,D5,16R
11:40.0,D6,16L
11:40.5,D10,16L
11:45.0,D8,16R
11:45.0,I54,16L
11:50.0,’…—¤,16R
11:50.0,D11,16R
11:55.0,’…—¤,16L
11:55.7,’…—¤,16R
